#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.00809  0.00354  0.00678  1.50223  0.000173  0.000068  0.020271     2.548
   1.01107  0.00168  0.00446  1.49962  0.000138  0.000054  0.024429     2.579
   1.01328  0.00059  0.00254  1.48430  0.000099  0.000040  0.038093     2.463
   1.01507  0.00007  0.00082  1.38244  0.000073  0.000031  0.055152     2.335
   1.01672  0.00007 -0.00082  1.10444  0.000062  0.000028  0.059607     2.182
   1.01851  0.00059 -0.00254  0.72745  0.000072  0.000033  0.032626     2.213
   1.02071  0.00168 -0.00446  0.39520  0.000084  0.000038  0.015483     2.193
   1.02370  0.00354 -0.00678  0.11571  0.000119  0.000053  0.003104     2.230
   1.02797  0.00663 -0.00973 -0.13730  0.000119  0.000053  0.003683     2.230
   1.03378  0.01135 -0.01312 -0.33789  0.000177  0.000076  0.005616     2.320
   1.04082  0.01741 -0.01671 -0.48399  0.000200  0.000090  0.007767     2.225
   1.05027  0.02588 -0.02091 -0.61597  0.000249  0.000107  0.007196     2.331
   1.06302  0.03770 -0.02570 -0.72083  0.000299  0.000130  0.007186     2.306
   1.07684  0.05079 -0.03010 -0.79312  0.000359  0.000152  0.006274     2.356
   1.09127  0.06466 -0.03408 -0.84623  0.000405  0.000173  0.006011     2.344
   1.10635  0.07930 -0.03770 -0.88679  0.000457  0.000193  0.005442     2.370
   1.12169  0.09430 -0.04093 -0.91721  0.000506  0.000212  0.005032     2.381
   1.13716  0.10950 -0.04380 -0.94169  0.000550  0.000230  0.004722     2.387
   1.15277  0.12490 -0.04638 -0.96135  0.000595  0.000248  0.004408     2.398
   1.16851  0.14046 -0.04868 -0.97776  0.000637  0.000265  0.004162     2.404
   1.18432  0.15614 -0.05074 -0.99133  0.000679  0.000281  0.003924     2.413
   1.20020  0.17191 -0.05258 -1.00323  0.000717  0.000297  0.003749     2.416
